# fan_in.csv — subtask 001 internal-import fan-in/fan-out over ari-core/ari
# command: python docs/refactoring/reports/_capture_baseline.py
# git_sha=2a20bd94a06abb6013e2e85be92f978caa916df2 python=3.13.2 generated_utc=2026-07-01T10:56:11Z
# fan_in=in-edges (blast radius); fan_out=out-edges; scc_size>1 => in an import cycle
module,fan_in,fan_out,scc_size
ari.paths,26,0,1
ari.viz.state,20,1,1
ari.config,14,1,1
ari.viz.api_state,11,8,8
ari.llm.client,9,2,1
ari.orchestrator.node,7,0,1
ari.pipeline,7,6,2
ari.prompts,7,1,1
ari.mcp.client,6,1,1
ari.viz.api_settings,6,2,1
ari._deprecation,5,0,1
ari.memory.client,5,0,1
ari.pidfile,5,0,1
ari,4,0,1
ari.agent.workflow,4,1,1
ari.cli,4,13,4
ari.clone,4,1,1
ari.core,4,10,1
ari.cost_tracker,4,3,1
ari.checkpoint,3,0,1
ari.cli.lineage,3,2,1
ari.config.finder,3,0,1
ari.container,3,0,1
ari.env_detect,3,0,1
ari.llm.routing,3,0,1
ari.memory_cli,3,3,1
ari.orchestrator.node_report,3,2,3
ari.pipeline.yaml_loader,3,1,1
ari.viz.api_experiment,3,5,1
ari.viz.api_orchestrator,3,3,1
ari.viz.api_tools,3,7,1
ari.agent.message_utils,2,0,1
ari.agent.metric_contract,2,0,1
ari.agent.run_env,2,0,1
ari.cli.bfts_loop,2,9,1
ari.cli.commands,2,8,4
ari.configs,2,1,1
ari.configs._loader,2,0,1
ari.evaluator,2,1,1
ari.evaluator.dynamic_axes,2,0,1
ari.memory.auto_migrate,2,1,1
ari.orchestrator.web_provenance,2,0,1
ari.pipeline.claim_gate.contract,2,2,1
ari.pipeline.claim_gate.invariants,2,0,1
ari.pipeline.claim_gate.numeric,2,0,1
ari.pipeline.context_builder,2,2,1
ari.pipeline.experiment_md,2,0,1
ari.pipeline.stage_control,2,0,1
ari.pipeline.stage_runner,2,7,1
ari.pipeline.verified_context,2,0,1
ari.prompts._loader,2,0,1
ari.publish,2,1,1
ari.registry,2,2,1
ari.registry.auth,2,0,1
ari.viz.api_memory,2,1,1
ari.viz.api_ollama,2,2,1
ari.viz.api_paperbench,2,2,2
ari.viz.api_workflow,2,1,1
ari.viz.ui_helpers,2,3,1
ari.agent.guidance,1,2,1
ari.agent.loop,1,13,1
ari.agent.react_driver,1,2,1
ari.agent.tool_manager,1,2,1
ari.cli.migrate,1,2,1
ari.cli.projects,1,6,4
ari.cli.run,1,17,4
ari.cli_ear,1,1,1
ari.clone.resolvers.https,1,0,1
ari.lineage,1,1,1
ari.memory.letta_client,1,2,1
ari.migrations.v05_to_v07.legacy_axes,1,0,1
ari.migrations.v05_to_v07.memory,1,1,1
ari.migrations.v05_to_v07.node_reports,1,1,3
ari.orchestrator.bfts,1,6,1
ari.orchestrator.lineage_decision,1,2,1
ari.orchestrator.node_report.builder,1,2,1
ari.orchestrator.node_report.legacy_reconstruct,1,1,3
ari.orchestrator.root_idea_selector,1,1,1
ari.pipeline.claim_gate,1,1,1
ari.pipeline.claim_gate.formula_eval,1,0,1
ari.pipeline.claim_gate.gate,1,6,1
ari.pipeline.claim_gate.latex,1,0,1
ari.pipeline.claim_gate.policy,1,0,1
ari.pipeline.claim_gate.resolve,1,0,1
ari.pipeline.orchestrator,1,10,2
ari.protocols.evaluator,1,0,1
ari.registry.app,1,3,1
ari.registry.cli,1,3,1
ari.registry.storage,1,0,1
ari.viz.api_fewshot,1,1,1
ari.viz.api_paperbench_worker,1,3,2
ari.viz.api_process,1,2,1
ari.viz.api_publish,1,3,1
ari.viz.checkpoint_api,1,3,8
ari.viz.checkpoint_finder,1,3,8
ari.viz.checkpoint_lifecycle,1,3,8
ari.viz.ear,1,4,8
ari.viz.file_api,1,2,8
ari.viz.node_work_api,1,3,8
ari.viz.routes,1,17,1
ari.viz.server,1,12,1
ari.viz.state_sync,1,3,8
ari.viz.websocket,1,2,1
ari.agent,0,0,1
ari.cli.__main__,0,1,1
ari.clone.resolvers,0,1,1
ari.clone.resolvers.ari,0,2,1
ari.clone.resolvers.doi,0,0,1
ari.clone.resolvers.file,0,0,1
ari.clone.resolvers.gh,0,0,1
ari.evaluator.llm_evaluator,0,3,1
ari.llm,0,1,1
ari.llm.cli_server,0,0,1
ari.mcp,0,0,1
ari.memory,0,0,1
ari.memory.file_client,0,1,1
ari.memory.local_client,0,1,1
ari.migrations,0,0,1
ari.migrations.v05_to_v07,0,0,1
ari.orchestrator,0,0,1
ari.orchestrator.node_selection,0,0,1
ari.protocols,0,3,1
ari.public,0,0,1
ari.public.claim_gate,0,3,1
ari.public.config_schema,0,1,1
ari.public.container,0,1,1
ari.public.cost_tracker,0,1,1
ari.public.llm,0,1,1
ari.public.paths,0,1,1
ari.public.run_env,0,1,1
ari.public.verified_context,0,1,1
ari.publish.backends,0,0,1
ari.publish.backends.ari_registry,0,1,1
ari.publish.backends.gh,0,0,1
ari.publish.backends.local_tarball,0,0,1
ari.publish.backends.zenodo,0,0,1
ari.schemas,0,0,1
ari.viz,0,0,1
ari.viz.api_wizard,0,2,1
