# loc_census.csv — subtask 001 LOC baseline (wc -l semantics; git-tracked files only)
# command: python docs/refactoring/reports/_capture_baseline.py
# git_sha=2a20bd94a06abb6013e2e85be92f978caa916df2 python=3.13.2 generated_utc=2026-07-01T10:56:11Z
# cohorts: core-prod (ari-core/ari), core-test (ari-core/tests), skill:<name> (ari-skill-*/src), frontend (viz/frontend/src ts,tsx)
# band: warn>500 review>800 split>1200 (RECORDED, not enforced here)
path,loc,cohort,band
ari-core/ari/__init__.py,0,core-prod,-
ari-core/ari/_deprecation.py,63,core-prod,-
ari-core/ari/agent/__init__.py,21,core-prod,-
ari-core/ari/agent/guidance.py,136,core-prod,-
ari-core/ari/agent/loop.py,1630,core-prod,split
ari-core/ari/agent/message_utils.py,58,core-prod,-
ari-core/ari/agent/metric_contract.py,318,core-prod,-
ari-core/ari/agent/react_driver.py,442,core-prod,-
ari-core/ari/agent/run_env.py,224,core-prod,-
ari-core/ari/agent/tool_manager.py,145,core-prod,-
ari-core/ari/agent/workflow.py,329,core-prod,-
ari-core/ari/checkpoint.py,197,core-prod,-
ari-core/ari/cli/__init__.py,174,core-prod,-
ari-core/ari/cli/__main__.py,12,core-prod,-
ari-core/ari/cli/bfts_loop.py,911,core-prod,review
ari-core/ari/cli/commands.py,244,core-prod,-
ari-core/ari/cli/lineage.py,211,core-prod,-
ari-core/ari/cli/migrate.py,95,core-prod,-
ari-core/ari/cli/projects.py,360,core-prod,-
ari-core/ari/cli/run.py,575,core-prod,warn
ari-core/ari/cli_ear.py,170,core-prod,-
ari-core/ari/clone/__init__.py,260,core-prod,-
ari-core/ari/clone/resolvers/__init__.py,65,core-prod,-
ari-core/ari/clone/resolvers/ari.py,129,core-prod,-
ari-core/ari/clone/resolvers/doi.py,65,core-prod,-
ari-core/ari/clone/resolvers/file.py,31,core-prod,-
ari-core/ari/clone/resolvers/gh.py,63,core-prod,-
ari-core/ari/clone/resolvers/https.py,52,core-prod,-
ari-core/ari/config/__init__.py,628,core-prod,warn
ari-core/ari/config/finder.py,145,core-prod,-
ari-core/ari/configs/__init__.py,11,core-prod,-
